facility_id,role,latitude,longitude,city_zone,industry_type,operating_temp_c,flow_capacity_kw,schedule_start_utc,schedule_end_utc,operational_days,current_status
9f35992b-d0cf-440e-aa9e-74aa7c2be7b7,PRODUCER,30.140417,76.217916,Punjab Region,Textile Mill,95.6,3966.2,06:00:00,18:00:00,Mon-Fri,ACTIVE
0505363c-caf5-48f0-b97a-22ce8cd74b0c,PRODUCER,30.843696,76.93006,Punjab Region,Heavy Manufacturing,205.8,16047.1,06:00:00,18:00:00,Mon-Fri,ACTIVE
a29d2fd8-754c-4d1c-a2f2-90206c3567df,PRODUCER,30.373438,76.130367,Punjab Region,Textile Mill,127.0,3181.5,06:00:00,18:00:00,Mon-Fri,ACTIVE
294bf44a-7ca5-49df-981b-0fb32a40b42c,PRODUCER,30.349437,76.123998,Punjab Region,Textile Mill,111.1,1119.2,06:00:00,18:00:00,Mon-Fri,ACTIVE
a184caad-414b-4796-baa3-7ee707f2cf0e,PRODUCER,30.670042,76.732176,Punjab Region,Heavy Manufacturing,208.2,14030.3,06:00:00,18:00:00,Mon-Fri,ACTIVE
458572f6-3b10-4721-b262-ca7536736d93,PRODUCER,30.669339,76.739247,Punjab Region,Textile Mill,99.9,3599.5,06:00:00,18:00:00,Mon-Fri,ACTIVE
f141c150-5019-4226-9859-0303e23bf3b8,PRODUCER,30.709825,76.704579,Punjab Region,Textile Mill,111.0,2796.8,06:00:00,18:00:00,Mon-Fri,ACTIVE
92951374-501f-4da8-97d0-2699aac78acd,PRODUCER,30.717489,76.698759,Punjab Region,Chemical Plant,136.7,2052.0,06:00:00,18:00:00,Mon-Fri,ACTIVE
8526b6db-c063-4458-81c2-a8726dc7240c,PRODUCER,30.702601,76.692665,Punjab Region,Heavy Manufacturing,324.5,10103.8,06:00:00,18:00:00,Mon-Fri,ACTIVE
88fb2b00-712c-4c92-ad96-51d1206b84ce,PRODUCER,30.722088,76.711068,Punjab Region,Heavy Manufacturing,203.8,16452.4,06:00:00,18:00:00,Mon-Fri,ACTIVE
06a08f86-3924-415f-be04-e3b987f9aa6b,PRODUCER,30.729985,76.70681,Punjab Region,Heavy Manufacturing,173.2,6450.7,06:00:00,18:00:00,Mon-Fri,ACTIVE
179c69e3-05a6-4dee-b522-89b9abbd8238,PRODUCER,30.698723,76.78742,Punjab Region,Chemical Plant,122.3,8457.0,06:00:00,18:00:00,Mon-Fri,ACTIVE
