facility_id,role,latitude,longitude,city_zone,industry_type,operating_temp_c,flow_capacity_kw,schedule_start_utc,schedule_end_utc,operational_days,current_status
0bb8f759-dfc8-40b1-ae3d-bfc81a77a76f,PRODUCER,30.140417,76.217916,Haryana & Delhi NCR,brickyard,230.3,10014.8,06:00:00,18:00:00,Mon-Fri,ACTIVE
5c84a3f6-a8ac-4499-a7d0-029bc098f47f,PRODUCER,28.534647,77.170017,Haryana & Delhi NCR,depot,257.5,16390.6,06:00:00,18:00:00,Mon-Fri,ACTIVE
0a0e7aaa-46ca-4732-8a5b-f293d51149ad,PRODUCER,28.205735,77.212046,Haryana & Delhi NCR,warehouse,176.5,12343.7,06:00:00,18:00:00,Mon-Fri,ACTIVE
d39753c6-3d52-46ed-ac43-666587cba8fe,PRODUCER,28.554185,77.052908,Haryana & Delhi NCR,depot,196.5,15435.1,06:00:00,18:00:00,Mon-Fri,ACTIVE
c15b2c02-d0a9-494e-80ea-14ca4d6ea57c,PRODUCER,28.71407,77.172068,Haryana & Delhi NCR,depot,362.4,17075.5,06:00:00,18:00:00,Mon-Fri,ACTIVE
b6e83531-8fa2-4caf-b180-2d3d91db03e9,PRODUCER,28.469874,77.053033,Haryana & Delhi NCR,industrial,217.5,9305.4,06:00:00,18:00:00,Mon-Fri,ACTIVE
1c3014d8-6c46-4aad-af59-f6eda7a1e352,PRODUCER,28.588873,77.321676,Haryana & Delhi NCR,industrial,347.0,13057.2,06:00:00,18:00:00,Mon-Fri,ACTIVE
0061d01f-2043-4664-87cc-f32e20eeb600,PRODUCER,28.583527,77.32303,Haryana & Delhi NCR,industrial,109.9,7325.6,06:00:00,18:00:00,Mon-Fri,ACTIVE
04acaff2-8b20-44dc-8d45-063b0ba6490b,PRODUCER,30.113474,77.240928,Haryana & Delhi NCR,industrial,124.4,12882.0,06:00:00,18:00:00,Mon-Fri,ACTIVE
47340dc6-0b7a-4157-a20c-ebc46bb93cea,PRODUCER,30.105423,77.326417,Haryana & Delhi NCR,industrial,294.5,13298.3,06:00:00,18:00:00,Mon-Fri,ACTIVE
c4060799-83d0-4b20-89ac-997a3797c401,PRODUCER,28.97156,77.088619,Haryana & Delhi NCR,industrial,236.0,11837.5,06:00:00,18:00:00,Mon-Fri,ACTIVE
71e2fd2d-16ca-46ba-91a9-190d3dde6958,PRODUCER,28.971617,77.088602,Haryana & Delhi NCR,industrial,109.1,1581.7,06:00:00,18:00:00,Mon-Fri,ACTIVE
00d61801-d19a-4f22-9e22-dcbc83cfd91f,PRODUCER,28.233396,76.805459,Haryana & Delhi NCR,industrial,300.6,8884.0,06:00:00,18:00:00,Mon-Fri,ACTIVE
d2c6d4ff-0082-4ba2-8ff3-ad93688d8d11,PRODUCER,28.255818,76.823884,Haryana & Delhi NCR,industrial,269.8,8010.8,06:00:00,18:00:00,Mon-Fri,ACTIVE
0f7c6689-02ed-462e-9277-58996fd7bcaf,PRODUCER,28.456014,77.006411,Haryana & Delhi NCR,industrial,168.1,13611.3,06:00:00,18:00:00,Mon-Fri,ACTIVE
c06b48d7-d3c6-4094-8396-6f152863c019,CONSUMER,28.403449,77.133351,Haryana & Delhi NCR,farmland,26.6,2297.1,06:00:00,18:00:00,Mon-Fri,ACTIVE
91337baf-e5c2-4c38-9a2b-a7f7c6144877,PRODUCER,28.541058,77.398932,Haryana & Delhi NCR,industrial,123.7,7087.8,06:00:00,18:00:00,Mon-Fri,ACTIVE
3e14d634-b978-4eee-89e5-3725b3ef01d6,PRODUCER,28.345496,77.359928,Haryana & Delhi NCR,industrial,95.8,2107.2,06:00:00,18:00:00,Mon-Fri,ACTIVE
f1852e90-e44e-4227-bb8a-a0ec365c9f05,PRODUCER,28.590378,77.332208,Haryana & Delhi NCR,textile,126.4,14682.3,06:00:00,18:00:00,Mon-Fri,ACTIVE
4efab84d-b326-461a-8828-d60331731467,PRODUCER,28.580782,77.318855,Haryana & Delhi NCR,digital_marketing_agency,346.9,17770.6,06:00:00,18:00:00,Mon-Fri,ACTIVE
